Domain,label
ecnavi.jp,0.0
hubpages.com,0.0
hubpages.com,0.0
discover.hubpages.com,0.0
discover.hubpages.com,0.0
hubpages.com,0.0
extratorrent.cc,0.0
extratorrent.cc,0.0
icicibank.com,0.0
icicibank.com,0.0
www.icicibank.com,0.0
www.icicibank.com,0.0
icicibank.com,0.0
nypost.com,0.0
nypost.com,0.0
nypost.com,0.0
kienthuc.net.vn,0.0
kienthuc.net.vn,0.0
kienthuc.net.vn,0.0
thenextweb.com,0.0
thenextweb.com,0.0
thenextweb.com,0.0
akhbarelyom.com,0.0
akhbarelyom.com,0.0
akhbarelyom.com,0.0
tunein.com,0.0
tunein.com,0.0
tunein.com,0.0
tune.pk,0.0
tune.pk,0.0
tune.pk,0.0
tune.pk,0.0
tune.pk,0.0
tune.pk,0.0
tune.pk,0.0
sfglobe.com,0.0
sfglobe.com,0.0
mic.com,0.0
mic.com,0.0
www.mic.com,0.0
www.mic.com,0.0
mic.com,0.0
venturebeat.com,0.0
venturebeat.com,0.0
venturebeat.com,0.0
allegro.pl,0.0
allegro.pl,0.0
metro.co.uk,0.0
metro.co.uk,0.0
metro.co.uk,0.0
atwiki.jp,0.0
atwiki.jp,0.0
atwiki.jp,0.0
nguyentandung.org,0.0
nguyentandung.org,0.0
nguyentandung.org,0.0
spankbang.com,0.0
spankbang.com,0.0
spankbang.com,0.0
torcache.net,0.0
torcache.net,0.0
depositphotos.com,0.0
depositphotos.com,0.0
depositphotos.com,0.0
serverfault.com,0.0
serverfault.com,0.0
serverfault.com,0.0
kakaku.com,0.0
kakaku.com,0.0
kakaku.com,0.0
indianexpress.com,0.0
indianexpress.com,0.0
indianexpress.com,0.0
distractify.com,0.0
distractify.com,0.0
www.distractify.com,0.0
www.distractify.com,0.0
distractify.com,0.0
sourceforge.net,0.0
sourceforge.net,0.0
sourceforge.net,0.0
babal.net,0.0
babal.net,0.0
cookpad.com,0.0
cookpad.com,0.0
cookpad.com,0.0
plarium.com,0.0
plarium.com,0.0
plarium.com,0.0
pikabu.ru,0.0
pikabu.ru,0.0
grantland.com,0.0
grantland.com,0.0
grantland.com,0.0
europa.eu,0.0
europa.eu,0.0
european-union.europa.eu,0.0
european-union.europa.eu,0.0
european-union.europa.eu,0.0
european-union.europa.eu,0.0
europa.eu,0.0
kenh14.vn,0.0
kenh14.vn,0.0
kenh14.vn,0.0
twitter.com,0.0
twitter.com,0.0
twitter.com,0.0
nesn.com,0.0
nesn.com,0.0
nesn.com,0.0
fishki.net,0.0
fishki.net,0.0
fishki.net,0.0
syosetu.com,0.0
syosetu.com,0.0
